"idade","vacina_newcastle","vacina_salmonella","nro_aves","tipo_exploracao","segmento","exploracao","finalidade","materiais_coletados_array"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",31910,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",9100,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"59 semanas","Sim, viva/inativa","Sim, viva/inativa",6111,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"64 semanas","Sim, viva/inativa","Sim, viva/inativa",45129,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"23 semanas","Sim, viva/inativa","Sim, viva/inativa",16770,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",37984,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"45 semanas","Sim, inativa.","Sim, viva",5265,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"47 semanas","Sim, inativa.","Sim, inativa.",30505,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"50 semanas","Sim, inativa.",Não,17824,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"38 semanas","Sim, viva/inativa","Sim, viva/inativa",31767,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",70600,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",32100,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"52 semanas","Sim, viva/inativa","Sim, viva/inativa",39056,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"38 semanas","Sim, viva/inativa","Sim, viva/inativa",48376,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"30 semanas","Sim, inativa.","Sim, inativa.",38395,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",16776,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"10 semanas","Sim, viva","Sim, viva",27840,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Propé Misto"",""Propé Misto""}"
"10 semanas",Não,Não,40481,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"36 semanas","Sim, inativa.",Não,19961,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"59 semanas","Sim, viva/inativa","Sim, viva/inativa",27250,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"61 semanas","Sim, inativa.",Não,15156,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"64 semanas","Sim, viva/inativa","Sim, inativa.",26011,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"64 semanas","Sim, viva/inativa","Sim, viva/inativa",120000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",32695,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"6 dias",Não,Não,19980,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Suabe Fundo de Caixa LF""}"
"48 semanas","Sim, viva/inativa","Sim, inativa.",9363,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"49 semanas","Sim, viva/inativa","Sim, viva/inativa",7800,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Fezes Frescas""}"
"28 semanas","Sim, inativa.",Não,21163,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"33 semanas","Sim, inativa.","Sim, viva",8141,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Propé LF"",""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",41180,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",23500,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"25 semanas","Sim, viva/inativa","Sim, viva/inativa",16780,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"28 semanas","Sim, viva/inativa","Sim, inativa.",14910,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 dia",Não,Não,21400,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Suabe Fundo de Caixa LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF""}"
"45 semanas","Sim, inativa.","Sim, viva",4646,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
